filename,width,height,class,xmin,ymin,xmax,ymax
imgc6.jpg,800,600,C,261,416,284,518
imgc6.jpg,800,600,C,280,376,302,519
imgc6.jpg,800,600,C,310,339,328,511
imgc6.jpg,800,600,C,330,316,354,506
imgc6.jpg,800,600,C,361,432,380,540
imgc6.jpg,800,600,C,380,387,404,532
imgc6.jpg,800,600,C,404,354,426,522
imgc6.jpg,800,600,C,427,380,449,513
imgc6.jpg,800,600,C,469,345,489,479
imgc6.jpg,800,600,C,492,330,509,440
imgc6.jpg,800,600,SC,581,377,599,478
imgc6.jpg,800,600,SC,596,335,610,471
imgc6.jpg,800,600,SC,611,322,626,462
imgc6.jpg,800,600,C,650,397,667,508
imgc6.jpg,800,600,C,685,315,706,497
imgc6.jpg,800,600,SC,221,165,236,271
imgc6.jpg,800,600,SC,237,156,251,272
imgc6.jpg,800,600,B,467,163,485,264
imgc6.jpg,800,600,B,536,175,554,275
imgc6.jpg,800,600,B,274,147,289,246
imgc6.jpg,800,600,R,362,153,381,185
imgc6.jpg,800,600,SB,694,163,714,188
imgc6.jpg,800,600,SB,203,400,220,416
imgc6.jpg,800,600,CS,52,105,81,275
imgc6.jpg,800,600,CF,53,373,83,449
imgc6.jpg,800,600,SOS,85,369,101,434
imgc6.jpg,800,600,SOS,95,408,111,472
imgc6.jpg,800,600,SOS,102,359,118,422
imgc6.jpg,800,600,SOS,111,397,129,454
imgc6.jpg,800,600,SOS,112,137,128,203
imgc6.jpg,800,600,SOS,105,106,117,161
imgc6.jpg,800,600,SOS,95,151,111,211
imgc6.jpg,800,600,SOS,86,113,100,174
imgc6.jpg,800,600,SB,162,172,180,200
imgc6.jpg,800,600,SN,191,153,206,227
imgc6.jpg,800,600,P,202,169,214,192
img17.jpg,0,0,C,97,131,409,522
img17.jpg,0,0,C,411,112,664,491
imgc5.jpg,800,600,N,368,201,393,256
imgc5.jpg,800,600,N,428,196,449,247
imgc5.jpg,800,600,N,549,192,569,239
imgc5.jpg,800,600,N,624,199,646,249
imgc5.jpg,800,600,N,678,214,703,265
imgc5.jpg,800,600,N,770,343,790,397
imgc5.jpg,800,600,N,612,347,640,397
imgc5.jpg,800,600,N,542,358,570,403
imgc5.jpg,800,600,N,445,366,471,414
imgc5.jpg,800,600,N,50,372,71,420
imgc5.jpg,800,600,C,49,505,79,559
imgc5.jpg,800,600,C,116,492,143,553
imgc5.jpg,800,600,C,271,504,292,557
imgc5.jpg,800,600,C,331,506,356,558
imgc5.jpg,800,600,C,398,506,421,561
imgc5.jpg,800,600,N,523,525,544,577
imgc5.jpg,800,600,C,659,514,682,571
imgc5.jpg,800,600,N,720,515,746,575
imgc5.jpg,800,600,C,693,334,716,389
imgc5.jpg,800,600,C,745,191,778,244
imgc5.jpg,800,600,C,460,504,497,555
imgc5.jpg,800,600,C,486,183,507,231
imgc5.jpg,800,600,R,138,230,164,249
imgc5.jpg,800,600,B,16,201,42,254
imgc5.jpg,800,600,B,166,372,192,423
imgc5.jpg,800,600,Bem,505,507,522,542
imgc5.jpg,800,600,Bem,30,353,45,392
imgc5.jpg,800,600,SB,292,368,326,387
imgc5.jpg,800,600,P,548,522,557,530
imgc5.jpg,800,600,P,317,216,327,227
imgc5.jpg,800,600,N,288,210,315,260
imgc4.jpg,800,600,SOS,68,45,82,85
imgc4.jpg,800,600,SOS,66,189,84,231
imgc4.jpg,800,600,SOS,66,369,83,409
imgc4.jpg,800,600,SOS,66,513,82,555
imgc4.jpg,800,600,CF,30,520,65,567
imgc4.jpg,800,600,CF,30,193,66,242
imgc4.jpg,800,600,CS,28,37,64,142
imgc4.jpg,800,600,CS,33,360,66,463
imgc4.jpg,800,600,N,121,401,145,461
imgc4.jpg,800,600,SC,216,371,238,471
imgc4.jpg,800,600,SC,245,371,265,461
imgc4.jpg,800,600,SC,271,370,292,436
imgc4.jpg,800,600,SC,302,366,320,449
imgc4.jpg,800,600,SC,113,37,137,130
imgc4.jpg,800,600,SC,147,50,163,126
imgc4.jpg,800,600,SC,176,65,193,129
imgc4.jpg,800,600,SC,201,41,223,132
imgc4.jpg,800,600,SC,236,38,261,89
imgc4.jpg,800,600,SC,264,39,285,105
imgc4.jpg,800,600,SC,290,43,314,126
imgc4.jpg,800,600,SC,315,43,340,139
imgc4.jpg,800,600,SC,418,42,441,139
imgc4.jpg,800,600,SC,455,56,473,134
imgc4.jpg,800,600,SC,477,73,500,141
imgc4.jpg,800,600,SC,504,53,525,137
imgc4.jpg,800,600,SC,542,49,565,99
imgc4.jpg,800,600,SC,566,47,588,108
imgc4.jpg,800,600,SC,600,46,622,122
imgc4.jpg,800,600,SC,623,58,648,142
imgc4.jpg,800,600,SC,752,49,773,138
imgc4.jpg,800,600,SC,699,372,719,446
imgc4.jpg,800,600,SC,669,374,692,434
imgc4.jpg,800,600,SC,641,368,666,469
imgc4.jpg,800,600,SC,618,375,639,458
imgc4.jpg,800,600,SC,586,400,607,477
imgc4.jpg,800,600,SC,562,397,581,461
imgc4.jpg,800,600,SC,436,397,454,471
imgc4.jpg,800,600,SC,460,392,483,472
imgc4.jpg,800,600,SC,404,395,424,459
imgc4.jpg,800,600,SC,362,392,390,459
imgc4.jpg,800,600,SC,330,390,350,444
imgc4.jpg,800,600,SC,190,498,208,555
imgc4.jpg,800,600,SC,161,499,181,558
imgc4.jpg,800,600,C,516,397,543,469
imgc4.jpg,800,600,C,521,509,543,585
imgc4.jpg,800,600,C,557,501,580,558
imgc4.jpg,800,600,C,613,534,630,595
imgc4.jpg,800,600,C,666,536,686,599
imgc4.jpg,800,600,C,728,509,752,588
imgc4.jpg,800,600,C,760,500,786,558
imgc4.jpg,800,600,C,767,392,786,462
imgc4.jpg,800,600,C,355,535,383,592
